split,class_name,leaf_id,image_id,path
test,Apple___Cedar_apple_rust,frec_c.rust 9856,60.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Cedar_apple_rust\17b9f64c-4660-424f-9c8e-d9a49654e512___FREC_C.Rust 3776.JPG
train,Apple___Cedar_apple_rust,frec_c.rust 9857,60.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Cedar_apple_rust\17b9f64c-4660-424f-9c8e-d9a49654e512___FREC_C.Rust 3776.JPG
val,Grape___Esca_(Black_Measles),fam_b.msls 1264,111.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1265,111.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG
test,Grape___Esca_(Black_Measles),fam_b.msls 1266,111.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG
test,Grape___Esca_(Black_Measles),fam_b.msls 1267,112.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0ab276b8-1342-4b3b-a87d-620880112e9c___FAM_B.Msls 1009.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1260,110.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0b351ad3-5a0c-4a62-b803-9f17fed7d3ea___FAM_B.Msls 1106.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1261,110.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0b351ad3-5a0c-4a62-b803-9f17fed7d3ea___FAM_B.Msls 1106.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1262,110.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0b351ad3-5a0c-4a62-b803-9f17fed7d3ea___FAM_B.Msls 1106.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1263,111.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\01c74b8d-1113-47c0-86a3-6ceea27853c0___FAM_B.Msls 4113.JPG
val,Grape___Esca_(Black_Measles),fam_b.msls 1268,112.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0ab276b8-1342-4b3b-a87d-620880112e9c___FAM_B.Msls 1009.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 1269,112.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\0ab276b8-1342-4b3b-a87d-620880112e9c___FAM_B.Msls 1009.JPG
train,Tomato___Early_blight,rs_erly.b 7821,146.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369.JPG
train,Tomato___Early_blight,rs_erly.b 7820,145.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\21f9a0a5-b145-40e7-8884-df2bb52eb592___RS_Erly.B 7391.JPG
val,Tomato___Early_blight,rs_erly.b 7823,146.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369.JPG
train,Tomato___Early_blight,rs_erly.b 7822,146.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369.JPG
train,Tomato___Early_blight,rs_erly.b 7825,147.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577.JPG
val,Tomato___Early_blight,rs_erly.b 7824,146.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\669eda4d-aa2e-4d84-9146-c96b047eb70e___RS_Erly.B 6369.JPG
test,Tomato___Early_blight,rs_erly.b 7827,147.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577.JPG
val,Tomato___Early_blight,rs_erly.b 7826,147.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577.JPG
test,Tomato___Early_blight,rs_erly.b 7829,148.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\4c1481fd-12fa-4729-9de6-35c7fae918a5___RS_Erly.B 7430.JPG
val,Tomato___Early_blight,rs_erly.b 7828,147.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Early_blight\40b67c0a-5dd8-435c-80ed-764593d2147a___RS_Erly.B 7577.JPG
test,Apple___Black_rot,jr_frge.s 2891,13.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 3720,126.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\31cae071-a2b2-4bbe-9127-378381126df4___FAM_L.Blight 4963.JPG
train,Apple___Black_rot,jr_frge.s 2893,13.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734.JPG
train,Apple___Black_rot,jr_frge.s 2892,13.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734.JPG
train,Apple___Black_rot,jr_frge.s 2895,14.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\033b1492-d5cf-4de7-a195-941f7780e092___JR_FrgE.S 8710.JPG
train,Apple___Black_rot,jr_frge.s 2894,13.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734.JPG
train,Apple___Black_rot,jr_frge.s 2897,14.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\033b1492-d5cf-4de7-a195-941f7780e092___JR_FrgE.S 8710.JPG
train,Apple___Black_rot,jr_frge.s 2896,14.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\033b1492-d5cf-4de7-a195-941f7780e092___JR_FrgE.S 8710.JPG
val,Apple___Black_rot,jr_frge.s 2899,14.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\033b1492-d5cf-4de7-a195-941f7780e092___JR_FrgE.S 8710.JPG
train,Apple___Black_rot,jr_frge.s 2898,14.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Black_rot\033b1492-d5cf-4de7-a195-941f7780e092___JR_FrgE.S 8710.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1499,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1498,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
val,Peach___Bacterial_spot,rutg._bact.s 1493,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1492,228.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg._Bact.S 1228.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1491,228.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg._Bact.S 1228.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1490,228.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg._Bact.S 1228.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1497,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1496,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1495,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
train,Peach___Bacterial_spot,rutg._bact.s 1494,229.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\036150ff-c7e6-4b15-99d1-2f606d78fb5e___Rutg._Bact.S 2290.JPG
test,Peach___Bacterial_spot,rutg._bact.s 2214,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
test,Peach___Bacterial_spot,rutg._bact.s 2215,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2216,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2217,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2210,311.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\103c80d3-6c1e-418d-b8fb-311c6eaad32b___Rutg._Bact.S 1447.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2211,311.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\103c80d3-6c1e-418d-b8fb-311c6eaad32b___Rutg._Bact.S 1447.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2212,311.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\103c80d3-6c1e-418d-b8fb-311c6eaad32b___Rutg._Bact.S 1447.JPG
train,Peach___Bacterial_spot,rutg._bact.s 2213,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
test,Peach___Bacterial_spot,rutg._bact.s 2218,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
test,Peach___Bacterial_spot,rutg._bact.s 2219,312.0,C:\Datasets\PlantVillage-official\raw\color\Peach___Bacterial_spot\114a3057-a764-41ce-b1ac-b63a93b3129d___Rutg._Bact.S 2256.JPG
test,Tomato___healthy,rs_hl 9816,207.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\4b8f6f0d-ed84-49ae-a92e-6cf049a42207___RS_HL 9652.JPG
val,Tomato___healthy,rs_hl 9817,207.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\4b8f6f0d-ed84-49ae-a92e-6cf049a42207___RS_HL 9652.JPG
test,Tomato___healthy,rs_hl 9814,207.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\4b8f6f0d-ed84-49ae-a92e-6cf049a42207___RS_HL 9652.JPG
train,Tomato___healthy,rs_hl 9815,207.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\4b8f6f0d-ed84-49ae-a92e-6cf049a42207___RS_HL 9652.JPG
train,Tomato___healthy,rs_hl 9812,206.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2.JPG
train,Tomato___healthy,rs_hl 9813,206.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2.JPG
test,Tomato___healthy,rs_hl 9810,206.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2.JPG
val,Tomato___healthy,rs_hl 9811,206.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___healthy\115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2.JPG
test,Tomato___Leaf_Mold,crnl_l.mold 9096,221.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\38393031-c7ba-4221-b435-69047e14bff5___Crnl_L.Mold 8776.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 6703,41.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\02415b3d-2ba8-4654-8398-a480ad901bbf___Crnl_L.Mold 8645.JPG
test,Tomato___Leaf_Mold,crnl_l.mold 6701,41.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\02415b3d-2ba8-4654-8398-a480ad901bbf___Crnl_L.Mold 8645.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 6700,41.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\02415b3d-2ba8-4654-8398-a480ad901bbf___Crnl_L.Mold 8645.JPG
val,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 3726,127.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\127bfdf9-b583-47c1-b16e-dce2f10c7a22___FAM_L.Blight 4681.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 6707,42.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\0425e1f8-950e-4f8f-a8cc-66809d61ef54___Crnl_L.Mold 6783.JPG
train,Apple___Cedar_apple_rust,frec_c.rust 4092,42.0,C:\Datasets\PlantVillage-official\raw\color\Apple___Cedar_apple_rust\052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7133,122.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\4c11a95e-122b-4e5e-a90c-cb550f8f6bb2___Crnl_L.Mold 7176.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7131,121.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\454b480b-2ac5-4992-bc5e-5ac95311214c___Crnl_L.Mold 6544.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7130,121.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\454b480b-2ac5-4992-bc5e-5ac95311214c___Crnl_L.Mold 6544.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7137,122.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\4c11a95e-122b-4e5e-a90c-cb550f8f6bb2___Crnl_L.Mold 7176.JPG
val,Tomato___Leaf_Mold,crnl_l.mold 7135,122.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\4c11a95e-122b-4e5e-a90c-cb550f8f6bb2___Crnl_L.Mold 7176.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7134,122.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\4c11a95e-122b-4e5e-a90c-cb550f8f6bb2___Crnl_L.Mold 7176.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 7139,123.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\091238ce-b84c-4629-a8b2-ba78254bd2e0___Crnl_L.Mold 8788.JPG
test,Tomato___Leaf_Mold,crnl_l.mold 8914,186.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\2cd79cec-d3fd-48a0-a747-186659750725___Crnl_L.Mold 6972.JPG
test,Tomato___Leaf_Mold,crnl_l.mold 8916,187.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\c6e1c2ad-78ae-4241-b86c-39d056318737___Crnl_L.Mold 6736.JPG
train,Tomato___Leaf_Mold,crnl_l.mold 8911,186.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\2cd79cec-d3fd-48a0-a747-186659750725___Crnl_L.Mold 6972.JPG
val,Tomato___Leaf_Mold,crnl_l.mold 9092,220.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\12319ec3-c990-4c68-8683-244f1f220c09___Crnl_L.Mold 9146.JPG
val,Tomato___Leaf_Mold,crnl_l.mold 9090,220.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Leaf_Mold\12319ec3-c990-4c68-8683-244f1f220c09___Crnl_L.Mold 9146.JPG
val,Apple___healthy,rs_hl 6251,101.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\010125c0-e6f2-4f3d-b469-dd98ffecbb01___RS_HL 7948.JPG
train,Apple___healthy,rs_hl 6250,101.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\010125c0-e6f2-4f3d-b469-dd98ffecbb01___RS_HL 7948.JPG
train,Apple___healthy,rs_hl 6253,102.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\0eacfbb6-3d68-4a89-b8f8-6b2d328102af___RS_HL 7961.JPG
val,Apple___healthy,rs_hl 6252,102.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\0eacfbb6-3d68-4a89-b8f8-6b2d328102af___RS_HL 7961.JPG
train,Apple___healthy,rs_hl 6259,103.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\09293103-81bd-45ef-b3ce-d163441d6b18___RS_HL 7337.JPG
test,Apple___healthy,rs_hl 6258,103.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\09293103-81bd-45ef-b3ce-d163441d6b18___RS_HL 7337.JPG
train,Apple___healthy,rs_hl 5784,24.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\03152113-855b-4eab-8a4f-7d78d92240d0___RS_HL 5838.JPG
train,Apple___healthy,rs_hl 5788,25.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\00a6039c-e425-4f7d-81b1-d6b0e668517e___RS_HL 7669.JPG
train,Apple___healthy,rs_hl 5789,25.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\00a6039c-e425-4f7d-81b1-d6b0e668517e___RS_HL 7669.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 4199,272.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\35f27251-e796-4906-80a3-1836f8bce8a3___FAM_B.Msls 0916.JPG
test,Grape___Esca_(Black_Measles),fam_b.msls 4198,272.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\35f27251-e796-4906-80a3-1836f8bce8a3___FAM_B.Msls 0916.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 4191,270.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 4190,270.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\011bb69d-fb9c-4fb9-b8cc-031e91270ec2___FAM_B.Msls 4288.JPG
val,Grape___Esca_(Black_Measles),fam_b.msls 4193,271.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\258f5fc8-e002-4270-933e-b7b12027122c___FAM_B.Msls 4316.JPG
test,Grape___Esca_(Black_Measles),fam_b.msls 4192,271.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\258f5fc8-e002-4270-933e-b7b12027122c___FAM_B.Msls 4316.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 4195,271.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\258f5fc8-e002-4270-933e-b7b12027122c___FAM_B.Msls 4316.JPG
train,Grape___Esca_(Black_Measles),fam_b.msls 4197,272.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Esca_(Black_Measles)\35f27251-e796-4906-80a3-1836f8bce8a3___FAM_B.Msls 0916.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4817,223.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\37223a0a-c8d1-4e21-af9a-6bc5a768bd64___FAM_L.Blight 1476.JPG
test,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4816,223.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\37223a0a-c8d1-4e21-af9a-6bc5a768bd64___FAM_L.Blight 1476.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4815,223.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\37223a0a-c8d1-4e21-af9a-6bc5a768bd64___FAM_L.Blight 1476.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4813,222.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\2911967b-09f2-4dd8-81e6-f9ed31422228___FAM_L.Blight 4974.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4812,222.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\2911967b-09f2-4dd8-81e6-f9ed31422228___FAM_L.Blight 4974.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4811,222.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\2911967b-09f2-4dd8-81e6-f9ed31422228___FAM_L.Blight 4974.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4810,222.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\2911967b-09f2-4dd8-81e6-f9ed31422228___FAM_L.Blight 4974.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4819,224.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\4e32244f-8e20-4788-8c49-93e971113104___FAM_L.Blight 1512.JPG
train,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),fam_l.blight 4818,223.0,C:\Datasets\PlantVillage-official\raw\color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\37223a0a-c8d1-4e21-af9a-6bc5a768bd64___FAM_L.Blight 1476.JPG
train,Apple___healthy,rs_hl 7991,229.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL 8134.JPG
train,Apple___healthy,rs_hl 7990,229.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\02fe229e-2b2e-4e1e-b56f-3af97996bee6___RS_HL 8134.JPG
train,Apple___healthy,rs_hl 7993,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7992,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7995,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7994,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7997,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7996,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7999,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Apple___healthy,rs_hl 7998,230.0,C:\Datasets\PlantVillage-official\raw\color\Apple___healthy\04032305-5ca9-4110-b517-461f13c95f18___RS_HL 7446.JPG
train,Tomato___Late_blight,rs_late.b 5074,46.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946.JPG
train,Tomato___Late_blight,rs_late.b 5075,47.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104.JPG
val,Tomato___Late_blight,rs_late.b 5076,47.0,C:\Datasets\PlantVillage-official\raw\color\Tomato___Late_blight\005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104.JPG
